tipo	Admiration_2	Adoration_2	Aesthetic Appreciation_2	Amusement_2	Anger_2	Annoyance_2	Anxiety_2	Awe_2	Awkwardness_2	Boredom_2	Calmness_2	Concentration_2	Confusion_2	Contemplation_2	Contempt_2	Contentment_2	Craving_2	Desire_2	Determination_2	Disappointment_2	Disapproval_2	Disgust_2	Distress_2	Doubt_2	Ecstasy_2	Embarrassment_2	Empathic Pain_2	Enthusiasm_2	Entrancement_2	Envy_2	Excitement_2	Fear_2	Gratitude_2	Guilt_2	Horror_2	Interest_2	Joy_2	Love_2	Nostalgia_2	Pain_2	Pride_2	Realization_2	Relief_2	Romance_2	Sadness_2	Sarcasm_2	Satisfaction_2	Shame_2	Surprise (negative)_2	Surprise (positive)_2	Sympathy_2	Tiredness_2	Triumph_2
A_Profesional	0	0	0	0	0.15412	0.27193	0	0	0	0	0	0	0.12276	0.30537	0.23464	0	0	0	0	0.18093	0.38055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A_Profesional	0.13804	0	0	0	0	0	0	0	0	0	0	0	0	0.10991	0	0	0	0	0	0	0	0	0	0	0	0	0.9599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1175	0	0	0.14057	0	0	0	0	0	0.92802	0	0
A_Profesional	0	0	0	0	0	0.34858	0.12543	0	0	0	0	0	0.26173	0.22232	0	0	0	0	0	0.28268	0.23842	0	0.16191	0.13556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1597	0	0	0	0	0	0	0	0	0	0	0
A_Profesional	0	0	0	0	0	0	0	0	0	0	0	0.20801	0	0.57467	0	0	0	0	0.38633	0	0	0	0	0.25758	0	0	0	0.21105	0	0	0	0	0	0	0	0.24969	0	0	0	0	0	0.16235	0	0	0	0	0	0	0	0	0	0	0
A_Preparatoria	0	0	0	0	0.19843	0.31841	0	0	0	0	0	0	0	0.23358	0.23695	0	0	0	0	0.23031	0.43648	0.18855	0.1003	0	0	0	0	0	0	0	0	0	0	0	0	0.11979	0	0	0	0	0	0.30476	0	0	0	0	0	0	0.15366	0	0	0	0
A_Preparatoria	0	0	0	0	0	0	0.4515	0	0.22011	0	0	0	0	0.31426	0	0	0	0	0	0	0.10736	0	0.13267	0.17932	0	0	0.13714	0	0	0	0	0.20305	0	0	0	0	0	0	0	0	0	0.13054	0	0	0	0	0	0	0	0	0.10656	0	0
A_Profesional	0	0	0	0	0	0	0	0	0	0	0	0	0.25601	0.3268	0	0	0	0	0	0.29899	0	0	0	0.13663	0	0	0.29343	0	0	0	0	0	0	0.13257	0	0.15196	0	0	0	0	0	0	0	0	0.22434	0	0	0	0	0	0.26935	0	0
A_Profesional	0	0	0	0	0.26908	0.15656	0.14719	0	0	0	0	0	0	0	0.19308	0	0	0	0	0	0.32208	0.27837	0.35184	0	0	0	0.20172	0	0	0	0	0.17086	0	0	0.28161	0.13656	0	0	0	0	0	0	0	0	0.1093	0	0	0	0.15019	0	0.11841	0	0
A_Profesional	0.16349	0	0	0	0	0	0	0	0	0	0	0.10673	0	0.24911	0	0.16106	0	0	0	0	0	0	0	0	0	0	0	0.26241	0	0	0.16391	0	0.13799	0	0	0.39966	0	0	0	0	0	0.11695	0.2158	0	0	0	0.43814	0	0	0.15126	0	0	0
A_Preparatoria	0	0	0	0	0	0.28853	0	0	0	0	0	0	0	0.10175	0.11514	0	0	0	0	0.2869	0.10911	0	0	0	0	0	0.21587	0	0	0	0	0	0	0	0	0	0	0	0	0.10283	0	0.11686	0	0	0.22665	0	0	0	0	0	0.19569	0	0
A_Preparatoria	0	0	0	0	0	0.23164	0.15432	0	0	0	0	0	0.29317	0.14527	0	0	0	0	0	0.69625	0.19873	0	0.22013	0.25512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11114	0	0	0.26837	0	0	0	0.24727	0	0	0	0
A_Preparatoria	0	0	0	0	0	0.33545	0	0	0	0	0	0	0.11434	0.20112	0.16257	0	0	0	0	0.32672	0.31982	0	0	0	0	0	0.11763	0	0	0	0	0	0	0	0	0.10261	0	0	0	0	0	0.15495	0	0	0	0	0	0	0.15713	0	0.11614	0	0
A_Profesional	0	0	0	0	0	0	0	0	0	0	0	0.12831	0.13116	0.89251	0	0	0	0	0	0.15088	0	0	0	0.31182	0	0	0	0	0	0	0	0	0	0	0	0.13609	0	0	0	0	0	0.55259	0	0	0	0	0	0	0	0	0	0	0
A_Profesional	0	0	0	0	0	0.1723	0	0	0	0	0	0	0	0.21974	0	0	0	0	0	0	0.2062	0	0	0	0	0	0.10384	0	0	0	0	0	0	0	0	0.11025	0	0	0	0	0	0.17944	0	0	0	0	0	0	0	0	0	0	0
A_?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A_Profesional	0	0	0	0	0.135	0.42416	0.12293	0	0.11157	0	0	0	0	0.11188	0.16932	0	0	0	0	0.1439	0.31898	0	0.10579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A_Profesional	0	0	0	0	0	0	0.73907	0	0	0	0	0	0	0.22923	0	0	0	0	0	0	0	0	0.36655	0.13903	0	0	0	0	0	0	0	0.71733	0	0	0	0	0	0	0	0	0	0	0	0	0.14392	0	0	0	0	0	0	0	0
A_Profesional	0.28213	0.10414	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17604	0	0	0	0	0	0	0	0	0	0	0	0.12596	0	0	0	0	0.76782	0	0	0	0.12698	0	0	0	0	0	0.11477	0	0	0	0.37675	0	0	0	0	0	0
A_Profesional	0	0	0	0	0	0	0	0	0	0	0	0	0.15304	0.19121	0	0	0	0	0	0.4614	0.13336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35793	0	0	0	0	0	0	0	0
